state,cases,date
Alabama,,2020-03-13
Alaska,,2020-03-13
American Samoa,,2020-03-13
Arizona,9,2020-03-13
Arkansas,6,2020-03-13
California,224,2020-03-13
Colorado,49,2020-03-13
Connecticut,7,2020-03-13
Delaware,1,2020-03-13
District of Columbia,1,2020-03-13
Florida,31,2020-03-13
Georgia,45,2020-03-13
Guam,,2020-03-13
Hawaii,1,2020-03-13
Idaho,,2020-03-13
Illinois,32,2020-03-13
Indiana,12,2020-03-13
Iowa,16,2020-03-13
Kansas,1,2020-03-13
Kentucky,11,2020-03-13
Louisiana,14,2020-03-13
Maine,1,2020-03-13
Marshall Islands,,2020-03-13
Maryland,12,2020-03-13
Massachusetts,108,2020-03-13
Michigan,1,2020-03-13
Micronesia,,2020-03-13
Minnesota,10,2020-03-13
Mississippi,1,2020-03-13
Missouri,1,2020-03-13
Montana,1,2020-03-13
Nebraska,10,2020-03-13
Nevada,11,2020-03-13
New Hampshire,6,2020-03-13
New Jersey,29,2020-03-13
New Mexico,1,2020-03-13
New York,325,2020-03-13
North Carolina,15,2020-03-13
North Dakota,1,2020-03-13
Northern Marianas,,2020-03-13
Ohio,1,2020-03-13
Oklahoma,1,2020-03-13
Oregon,24,2020-03-13
Palau,,2020-03-13
Pennsylvania,23,2020-03-13
Puerto Rico,,2020-03-13
Rhode Island,1,2020-03-13
South Carolina,12,2020-03-13
South Dakota,8,2020-03-13
Tennessee,18,2020-03-13
Texas,24,2020-03-13
Utah,1,2020-03-13
Vermont,1,2020-03-13
Virgin Islands,,2020-03-13
Virginia,29,2020-03-13
Washington,457,2020-03-13
West Virginia,,2020-03-13
Wisconsin,8,2020-03-13
Wyoming,1,2020-03-13
Alabama,,2020-03-13
Alaska,,2020-03-13
American Samoa,,2020-03-13
Arizona,9,2020-03-13
Arkansas,6,2020-03-13
California,224,2020-03-13
Colorado,49,2020-03-13
Connecticut,7,2020-03-13
Delaware,1,2020-03-13
District of Columbia,1,2020-03-13
Florida,31,2020-03-13
Georgia,45,2020-03-13
Guam,,2020-03-13
Hawaii,1,2020-03-13
Idaho,,2020-03-13
Illinois,32,2020-03-13
Indiana,12,2020-03-13
Iowa,16,2020-03-13
Kansas,1,2020-03-13
Kentucky,11,2020-03-13
Louisiana,14,2020-03-13
Maine,1,2020-03-13
Marshall Islands,,2020-03-13
Maryland,12,2020-03-13
Massachusetts,108,2020-03-13
Michigan,1,2020-03-13
Micronesia,,2020-03-13
Minnesota,10,2020-03-13
Mississippi,1,2020-03-13
Missouri,1,2020-03-13
Montana,1,2020-03-13
Nebraska,10,2020-03-13
Nevada,11,2020-03-13
New Hampshire,6,2020-03-13
New Jersey,29,2020-03-13
New Mexico,1,2020-03-13
New York,325,2020-03-13
North Carolina,15,2020-03-13
North Dakota,1,2020-03-13
Northern Marianas,,2020-03-13
Ohio,1,2020-03-13
Oklahoma,1,2020-03-13
Oregon,24,2020-03-13
Palau,,2020-03-13
Pennsylvania,23,2020-03-13
Puerto Rico,,2020-03-13
Rhode Island,1,2020-03-13
South Carolina,12,2020-03-13
South Dakota,8,2020-03-13
Tennessee,18,2020-03-13
Texas,24,2020-03-13
Utah,1,2020-03-13
Vermont,1,2020-03-13
Virgin Islands,,2020-03-13
Virginia,29,2020-03-13
Washington,457,2020-03-13
West Virginia,,2020-03-13
Wisconsin,8,2020-03-13
Wyoming,1,2020-03-13
Alabama,22,2020-03-13
Alaska,1,2020-03-13
American Samoa,,2020-03-13
Arizona,13,2020-03-13
Arkansas,16,2020-03-13
California,369,2020-03-13
Colorado,144,2020-03-13
Connecticut,26,2020-03-13
Delaware,8,2020-03-13
District of Columbia,17,2020-03-13
Florida,136,2020-03-13
Georgia,119,2020-03-13
Guam,1,2020-03-13
Hawaii,7,2020-03-13
Idaho,1,2020-03-13
Illinois,93,2020-03-13
Indiana,19,2020-03-13
Iowa,22,2020-03-13
Kansas,8,2020-03-13
Kentucky,20,2020-03-13
Louisiana,101,2020-03-13
Maine,14,2020-03-13
Marshall Islands,,2020-03-13
Maryland,37,2020-03-13
Massachusetts,164,2020-03-13
Michigan,53,2020-03-13
Micronesia,,2020-03-13
Minnesota,54,2020-03-13
Mississippi,10,2020-03-13
Missouri,1,2020-03-13
Montana,7,2020-03-13
Nebraska,18,2020-03-13
Nevada,16,2020-03-13
New Hampshire,13,2020-03-13
New Jersey,98,2020-03-13
New Mexico,17,2020-03-13
New York,669,2020-03-13
North Carolina,33,2020-03-13
North Dakota,1,2020-03-13
Northern Marianas,,2020-03-13
Ohio,37,2020-03-13
Oklahoma,9,2020-03-13
Oregon,39,2020-03-13
Palau,,2020-03-13
Pennsylvania,63,2020-03-13
Puerto Rico,1,2020-03-13
Rhode Island,21,2020-03-13
South Carolina,28,2020-03-13
South Dakota,9,2020-03-13
Tennessee,39,2020-03-13
Texas,67,2020-03-13
Utah,21,2020-03-13
Vermont,1,2020-03-13
Virgin Islands,1,2020-03-13
Virginia,51,2020-03-13
Washington,708,2020-03-13
West Virginia,,2020-03-13
Wisconsin,27,2020-03-13
Wyoming,1,2020-03-13
Alabama,22,2020-03-16
Alaska,1,2020-03-16
American Samoa,,2020-03-16
Arizona,13,2020-03-16
Arkansas,16,2020-03-16
California,369,2020-03-16
Colorado,144,2020-03-16
Connecticut,26,2020-03-16
Delaware,8,2020-03-16
District of Columbia,17,2020-03-16
Florida,136,2020-03-16
Georgia,119,2020-03-16
Guam,1,2020-03-16
Hawaii,7,2020-03-16
Idaho,1,2020-03-16
Illinois,93,2020-03-16
Indiana,19,2020-03-16
Iowa,22,2020-03-16
Kansas,8,2020-03-16
Kentucky,20,2020-03-16
Louisiana,101,2020-03-16
Maine,14,2020-03-16
Marshall Islands,,2020-03-16
Maryland,37,2020-03-16
Massachusetts,164,2020-03-16
Michigan,53,2020-03-16
Micronesia,,2020-03-16
Minnesota,54,2020-03-16
Mississippi,10,2020-03-16
Missouri,1,2020-03-16
Montana,7,2020-03-16
Nebraska,18,2020-03-16
Nevada,16,2020-03-16
New Hampshire,13,2020-03-16
New Jersey,98,2020-03-16
New Mexico,17,2020-03-16
New York,669,2020-03-16
North Carolina,33,2020-03-16
North Dakota,1,2020-03-16
Northern Marianas,,2020-03-16
Ohio,37,2020-03-16
Oklahoma,9,2020-03-16
Oregon,39,2020-03-16
Palau,,2020-03-16
Pennsylvania,63,2020-03-16
Puerto Rico,1,2020-03-16
Rhode Island,21,2020-03-16
South Carolina,28,2020-03-16
South Dakota,9,2020-03-16
Tennessee,39,2020-03-16
Texas,67,2020-03-16
Utah,21,2020-03-16
Vermont,1,2020-03-16
Virgin Islands,1,2020-03-16
Virginia,51,2020-03-16
Washington,708,2020-03-16
West Virginia,,2020-03-16
Wisconsin,27,2020-03-16
Wyoming,1,2020-03-16
Alabama,22,2020-03-16
Alaska,1,2020-03-16
American Samoa,,2020-03-16
Arizona,13,2020-03-16
Arkansas,16,2020-03-16
California,369,2020-03-16
Colorado,144,2020-03-16
Connecticut,26,2020-03-16
Delaware,8,2020-03-16
District of Columbia,17,2020-03-16
Florida,136,2020-03-16
Georgia,119,2020-03-16
Guam,1,2020-03-16
Hawaii,7,2020-03-16
Idaho,1,2020-03-16
Illinois,93,2020-03-16
Indiana,19,2020-03-16
Iowa,22,2020-03-16
Kansas,8,2020-03-16
Kentucky,20,2020-03-16
Louisiana,101,2020-03-16
Maine,14,2020-03-16
Marshall Islands,,2020-03-16
Maryland,37,2020-03-16
Massachusetts,164,2020-03-16
Michigan,53,2020-03-16
Micronesia,,2020-03-16
Minnesota,54,2020-03-16
Mississippi,10,2020-03-16
Missouri,1,2020-03-16
Montana,7,2020-03-16
Nebraska,18,2020-03-16
Nevada,16,2020-03-16
New Hampshire,13,2020-03-16
New Jersey,98,2020-03-16
New Mexico,17,2020-03-16
New York,669,2020-03-16
North Carolina,33,2020-03-16
North Dakota,1,2020-03-16
Northern Marianas,,2020-03-16
Ohio,37,2020-03-16
Oklahoma,9,2020-03-16
Oregon,39,2020-03-16
Palau,,2020-03-16
Pennsylvania,63,2020-03-16
Puerto Rico,1,2020-03-16
Rhode Island,21,2020-03-16
South Carolina,28,2020-03-16
South Dakota,9,2020-03-16
Tennessee,39,2020-03-16
Texas,67,2020-03-16
Utah,21,2020-03-16
Vermont,1,2020-03-16
Virgin Islands,1,2020-03-16
Virginia,51,2020-03-16
Washington,708,2020-03-16
West Virginia,,2020-03-16
Wisconsin,27,2020-03-16
Wyoming,1,2020-03-16
Alabama,22,2020-03-17
Alaska,1,2020-03-17
American Samoa,,2020-03-17
Arizona,13,2020-03-17
Arkansas,16,2020-03-17
California,369,2020-03-17
Colorado,144,2020-03-17
Connecticut,26,2020-03-17
Delaware,8,2020-03-17
District of Columbia,17,2020-03-17
Florida,136,2020-03-17
Georgia,119,2020-03-17
Guam,1,2020-03-17
Hawaii,7,2020-03-17
Idaho,1,2020-03-17
Illinois,93,2020-03-17
Indiana,19,2020-03-17
Iowa,22,2020-03-17
Kansas,8,2020-03-17
Kentucky,20,2020-03-17
Louisiana,101,2020-03-17
Maine,14,2020-03-17
Marshall Islands,,2020-03-17
Maryland,37,2020-03-17
Massachusetts,164,2020-03-17
Michigan,53,2020-03-17
Micronesia,,2020-03-17
Minnesota,54,2020-03-17
Mississippi,10,2020-03-17
Missouri,1,2020-03-17
Montana,7,2020-03-17
Nebraska,18,2020-03-17
Nevada,16,2020-03-17
New Hampshire,13,2020-03-17
New Jersey,98,2020-03-17
New Mexico,17,2020-03-17
New York,669,2020-03-17
North Carolina,33,2020-03-17
North Dakota,1,2020-03-17
Northern Marianas,,2020-03-17
Ohio,37,2020-03-17
Oklahoma,9,2020-03-17
Oregon,39,2020-03-17
Palau,,2020-03-17
Pennsylvania,63,2020-03-17
Puerto Rico,1,2020-03-17
Rhode Island,21,2020-03-17
South Carolina,28,2020-03-17
South Dakota,9,2020-03-17
Tennessee,39,2020-03-17
Texas,67,2020-03-17
Utah,21,2020-03-17
Vermont,1,2020-03-17
Virgin Islands,1,2020-03-17
Virginia,51,2020-03-17
Washington,708,2020-03-17
West Virginia,,2020-03-17
Wisconsin,27,2020-03-17
Wyoming,1,2020-03-17
Alabama,39,2020-03-17
Alaska,1,2020-03-17
American Samoa,,2020-03-17
Arizona,18,2020-03-17
Arkansas,24,2020-03-17
California,596,2020-03-17
Colorado,183,2020-03-17
Connecticut,68,2020-03-17
Delaware,16,2020-03-17
District of Columbia,31,2020-03-17
Florida,195,2020-03-17
Georgia,178,2020-03-17
Guam,1,2020-03-17
Hawaii,13,2020-03-17
Idaho,1,2020-03-17
Illinois,160,2020-03-17
Indiana,30,2020-03-17
Iowa,29,2020-03-17
Kansas,16,2020-03-17
Kentucky,26,2020-03-17
Louisiana,190,2020-03-17
Maine,32,2020-03-17
Marshall Islands,,2020-03-17
Maryland,85,2020-03-17
Massachusetts,218,2020-03-17
Michigan,65,2020-03-17
Micronesia,,2020-03-17
Minnesota,77,2020-03-17
Mississippi,34,2020-03-17
Missouri,13,2020-03-17
Montana,11,2020-03-17
Nebraska,21,2020-03-17
Nevada,55,2020-03-17
New Hampshire,26,2020-03-17
New Jersey,267,2020-03-17
New Mexico,23,2020-03-17
New York,2601,2020-03-17
North Carolina,62,2020-03-17
North Dakota,1,2020-03-17
Northern Marianas,,2020-03-17
Ohio,67,2020-03-17
Oklahoma,19,2020-03-17
Oregon,65,2020-03-17
Palau,,2020-03-17
Pennsylvania,96,2020-03-17
Puerto Rico,1,2020-03-17
Rhode Island,23,2020-03-17
South Carolina,47,2020-03-17
South Dakota,11,2020-03-17
Tennessee,73,2020-03-17
Texas,64,2020-03-17
Utah,41,2020-03-17
Vermont,10,2020-03-17
Virgin Islands,1,2020-03-17
Virginia,68,2020-03-17
Washington,930,2020-03-17
West Virginia,1,2020-03-17
Wisconsin,88,2020-03-17
Wyoming,11,2020-03-17
Alabama,39,2020-03-18
Alaska,1,2020-03-18
American Samoa,,2020-03-18
Arizona,18,2020-03-18
Arkansas,24,2020-03-18
California,596,2020-03-18
Colorado,183,2020-03-18
Connecticut,68,2020-03-18
Delaware,16,2020-03-18
District of Columbia,31,2020-03-18
Florida,195,2020-03-18
Georgia,178,2020-03-18
Guam,1,2020-03-18
Hawaii,13,2020-03-18
Idaho,1,2020-03-18
Illinois,160,2020-03-18
Indiana,30,2020-03-18
Iowa,29,2020-03-18
Kansas,16,2020-03-18
Kentucky,26,2020-03-18
Louisiana,190,2020-03-18
Maine,32,2020-03-18
Marshall Islands,,2020-03-18
Maryland,85,2020-03-18
Massachusetts,218,2020-03-18
Michigan,65,2020-03-18
Micronesia,,2020-03-18
Minnesota,77,2020-03-18
Mississippi,34,2020-03-18
Missouri,13,2020-03-18
Montana,11,2020-03-18
Nebraska,21,2020-03-18
Nevada,55,2020-03-18
New Hampshire,26,2020-03-18
New Jersey,267,2020-03-18
New Mexico,23,2020-03-18
New York,2601,2020-03-18
North Carolina,62,2020-03-18
North Dakota,1,2020-03-18
Northern Marianas,,2020-03-18
Ohio,67,2020-03-18
Oklahoma,19,2020-03-18
Oregon,65,2020-03-18
Palau,,2020-03-18
Pennsylvania,96,2020-03-18
Puerto Rico,1,2020-03-18
Rhode Island,23,2020-03-18
South Carolina,47,2020-03-18
South Dakota,11,2020-03-18
Tennessee,73,2020-03-18
Texas,64,2020-03-18
Utah,41,2020-03-18
Vermont,10,2020-03-18
Virgin Islands,1,2020-03-18
Virginia,68,2020-03-18
Washington,930,2020-03-18
West Virginia,1,2020-03-18
Wisconsin,88,2020-03-18
Wyoming,11,2020-03-18
Alabama,51,2020-03-18
Alaska,6,2020-03-18
American Samoa,,2020-03-18
Arizona,27,2020-03-18
Arkansas,37,2020-03-18
California,652,2020-03-18
Colorado,216,2020-03-18
Connecticut,96,2020-03-18
Delaware,26,2020-03-18
District of Columbia,39,2020-03-18
Florida,299,2020-03-18
Georgia,262,2020-03-18
Guam,8,2020-03-18
Hawaii,10,2020-03-18
Idaho,10,2020-03-18
Illinois,288,2020-03-18
Indiana,39,2020-03-18
Iowa,38,2020-03-18
Kansas,21,2020-03-18
Kentucky,35,2020-03-18
Louisiana,261,2020-03-18
Maine,44,2020-03-18
Marshall Islands,,2020-03-18
Maryland,107,2020-03-18
Massachusetts,256,2020-03-18
Michigan,80,2020-03-18
Micronesia,,2020-03-18
Minnesota,89,2020-03-18
Mississippi,50,2020-03-18
Missouri,24,2020-03-18
Montana,12,2020-03-18
Nebraska,27,2020-03-18
Nevada,63,2020-03-18
New Hampshire,39,2020-03-18
New Jersey,427,2020-03-18
New Mexico,28,2020-03-18
New York,4597,2020-03-18
North Carolina,97,2020-03-18
North Dakota,7,2020-03-18
Northern Marianas,,2020-03-18
Ohio,88,2020-03-18
Oklahoma,31,2020-03-18
Oregon,75,2020-03-18
Palau,,2020-03-18
Pennsylvania,133,2020-03-18
Puerto Rico,1,2020-03-18
Rhode Island,33,2020-03-18
South Carolina,60,2020-03-18
South Dakota,11,2020-03-18
Tennessee,98,2020-03-18
Texas,83,2020-03-18
Utah,40,2020-03-18
Vermont,12,2020-03-18
Virgin Islands,1,2020-03-18
Virginia,94,2020-03-18
Washington,1187,2020-03-18
West Virginia,1,2020-03-18
Wisconsin,106,2020-03-18
Wyoming,16,2020-03-18
Alabama,4946,2020-04-21
Alaska,319,2020-04-21
American Samoa,None,2020-04-21
Arizona,4929,2020-04-21
Arkansas,1781,2020-04-21
California,28963,2020-04-21
Colorado,9634,2020-04-21
Connecticut,17962,2020-04-21
Delaware,2745,2020-04-21
District of Columbia,2793,2020-04-21
Florida,25598,2020-04-21
Georgia,18781,2020-04-21
Guam,136,2020-04-21
Hawaii,580,2020-04-21
Idaho,1672,2020-04-21
Illinois,30357,2020-04-21
Indiana,11210,2020-04-21
Iowa,2902,2020-04-21
Kansas,1849,2020-04-21
Kentucky,2960,2020-04-21
Louisiana,23928,2020-04-21
Maine,867,2020-04-21
Marshall Islands,None,2020-04-21
Maryland,13684,2020-04-21
Massachusetts,38077,2020-04-21
Michigan,31424,2020-04-21
Micronesia,None,2020-04-21
Minnesota,2470,2020-04-21
Mississippi,4512,2020-04-21
Missouri,5667,2020-04-21
Montana,433,2020-04-21
Nebraska,1474,2020-04-21
Nevada,3728,2020-04-21
New Hampshire,1392,2020-04-21
New Jersey,85301,2020-04-21
New Mexico,1845,2020-04-21
New York,238138,2020-04-21
North Carolina,6493,2020-04-21
North Dakota,585,2020-04-21
Northern Marianas,14,2020-04-21
Ohio,11602,2020-04-21
Oklahoma,2599,2020-04-21
Oregon,1910,2020-04-21
Palau,None,2020-04-21
Pennsylvania,32284,2020-04-21
Puerto Rico,1213,2020-04-21
Rhode Island,4706,2020-04-21
South Carolina,4377,2020-04-21
South Dakota,1635,2020-04-21
Tennessee,6796,2020-04-21
Texas,18923,2020-04-21
Utah,3151,2020-04-21
Vermont,812,2020-04-21
Virgin Islands,53,2020-04-21
Virginia,8990,2020-04-21
Washington,11790,2020-04-21
West Virginia,863,2020-04-21
Wisconsin,4346,2020-04-21
Wyoming,426,2020-04-21
Alabama,4946,2020-04-21
Alaska,319,2020-04-21
American Samoa,None,2020-04-21
Arizona,4929,2020-04-21
Arkansas,1781,2020-04-21
California,28963,2020-04-21
Colorado,9634,2020-04-21
Connecticut,17962,2020-04-21
Delaware,2745,2020-04-21
District of Columbia,2793,2020-04-21
Florida,25598,2020-04-21
Georgia,18781,2020-04-21
Guam,136,2020-04-21
Hawaii,580,2020-04-21
Idaho,1672,2020-04-21
Illinois,30357,2020-04-21
Indiana,11210,2020-04-21
Iowa,2902,2020-04-21
Kansas,1849,2020-04-21
Kentucky,2960,2020-04-21
Louisiana,23928,2020-04-21
Maine,867,2020-04-21
Marshall Islands,None,2020-04-21
Maryland,13684,2020-04-21
Massachusetts,38077,2020-04-21
Michigan,31424,2020-04-21
Micronesia,None,2020-04-21
Minnesota,2470,2020-04-21
Mississippi,4512,2020-04-21
Missouri,5667,2020-04-21
Montana,433,2020-04-21
Nebraska,1474,2020-04-21
Nevada,3728,2020-04-21
New Hampshire,1392,2020-04-21
New Jersey,85301,2020-04-21
New Mexico,1845,2020-04-21
New York,238138,2020-04-21
North Carolina,6493,2020-04-21
North Dakota,585,2020-04-21
Northern Marianas,14,2020-04-21
Ohio,11602,2020-04-21
Oklahoma,2599,2020-04-21
Oregon,1910,2020-04-21
Palau,None,2020-04-21
Pennsylvania,32284,2020-04-21
Puerto Rico,1213,2020-04-21
Rhode Island,4706,2020-04-21
South Carolina,4377,2020-04-21
South Dakota,1635,2020-04-21
Tennessee,6796,2020-04-21
Texas,18923,2020-04-21
Utah,3151,2020-04-21
Vermont,812,2020-04-21
Virgin Islands,53,2020-04-21
Virginia,8990,2020-04-21
Washington,11790,2020-04-21
West Virginia,863,2020-04-21
Wisconsin,4346,2020-04-21
Wyoming,426,2020-04-21
Alabama,5424,2020-04-21
Alaska,321,2020-04-21
American Samoa,None,2020-04-21
Arizona,5064,2020-04-21
Arkansas,1964,2020-04-21
California,30978,2020-04-21
Colorado,10019,2020-04-21
Connecticut,19815,2020-04-21
Delaware,2745,2020-04-21
District of Columbia,2927,2020-04-21
Florida,26329,2020-04-21
Georgia,19630,2020-04-21
Guam,136,2020-04-21
Hawaii,584,2020-04-21
Idaho,1736,2020-04-21
Illinois,31508,2020-04-21
Indiana,11686,2020-04-21
Iowa,3159,2020-04-21
Kansas,1986,2020-04-21
Kentucky,3050,2020-04-21
Louisiana,24523,2020-04-21
Maine,875,2020-04-21
Marshall Islands,None,2020-04-21
Maryland,14193,2020-04-21
Massachusetts,39643,2020-04-21
Michigan,32000,2020-04-21
Micronesia,None,2020-04-21
Minnesota,2567,2020-04-21
Mississippi,4716,2020-04-21
Missouri,5807,2020-04-21
Montana,437,2020-04-21
Nebraska,1648,2020-04-21
Nevada,3830,2020-04-21
New Hampshire,1447,2020-04-21
New Jersey,88806,2020-04-21
New Mexico,1971,2020-04-21
New York,245580,2020-04-21
North Carolina,6764,2020-04-21
North Dakota,627,2020-04-21
Northern Marianas,14,2020-04-21
Ohio,12919,2020-04-21
Oklahoma,2680,2020-04-21
Oregon,1956,2020-04-21
Palau,None,2020-04-21
Pennsylvania,33232,2020-04-21
Puerto Rico,1213,2020-04-21
Rhode Island,5090,2020-04-21
South Carolina,4439,2020-04-21
South Dakota,1685,2020-04-21
Tennessee,7239,2020-04-21
Texas,19458,2020-04-21
Utah,3259,2020-04-21
Vermont,816,2020-04-21
Virgin Islands,54,2020-04-21
Virginia,9630,2020-04-21
Washington,12085,2020-04-21
West Virginia,902,2020-04-21
Wisconsin,4499,2020-04-21
Wyoming,428,2020-04-21
Alabama,5424,2020-04-22
Alaska,321,2020-04-22
American Samoa,None,2020-04-22
Arizona,5064,2020-04-22
Arkansas,1964,2020-04-22
California,30978,2020-04-22
Colorado,10019,2020-04-22
Connecticut,19815,2020-04-22
Delaware,2745,2020-04-22
District of Columbia,2927,2020-04-22
Florida,26329,2020-04-22
Georgia,19630,2020-04-22
Guam,136,2020-04-22
Hawaii,584,2020-04-22
Idaho,1736,2020-04-22
Illinois,31508,2020-04-22
Indiana,11686,2020-04-22
Iowa,3159,2020-04-22
Kansas,1986,2020-04-22
Kentucky,3050,2020-04-22
Louisiana,24523,2020-04-22
Maine,875,2020-04-22
Marshall Islands,None,2020-04-22
Maryland,14193,2020-04-22
Massachusetts,39643,2020-04-22
Michigan,32000,2020-04-22
Micronesia,None,2020-04-22
Minnesota,2567,2020-04-22
Mississippi,4716,2020-04-22
Missouri,5807,2020-04-22
Montana,437,2020-04-22
Nebraska,1648,2020-04-22
Nevada,3830,2020-04-22
New Hampshire,1447,2020-04-22
New Jersey,88806,2020-04-22
New Mexico,1971,2020-04-22
New York,245580,2020-04-22
North Carolina,6764,2020-04-22
North Dakota,627,2020-04-22
Northern Marianas,14,2020-04-22
Ohio,12919,2020-04-22
Oklahoma,2680,2020-04-22
Oregon,1956,2020-04-22
Palau,None,2020-04-22
Pennsylvania,33232,2020-04-22
Puerto Rico,1213,2020-04-22
Rhode Island,5090,2020-04-22
South Carolina,4439,2020-04-22
South Dakota,1685,2020-04-22
Tennessee,7239,2020-04-22
Texas,19458,2020-04-22
Utah,3259,2020-04-22
Vermont,816,2020-04-22
Virgin Islands,54,2020-04-22
Virginia,9630,2020-04-22
Washington,12085,2020-04-22
West Virginia,902,2020-04-22
Wisconsin,4499,2020-04-22
Wyoming,428,2020-04-22
Alabama,5424,2020-04-22
Alaska,321,2020-04-22
American Samoa,None,2020-04-22
Arizona,5064,2020-04-22
Arkansas,1964,2020-04-22
California,30978,2020-04-22
Colorado,10019,2020-04-22
Connecticut,19815,2020-04-22
Delaware,2745,2020-04-22
District of Columbia,2927,2020-04-22
Florida,26329,2020-04-22
Georgia,19630,2020-04-22
Guam,136,2020-04-22
Hawaii,584,2020-04-22
Idaho,1736,2020-04-22
Illinois,31508,2020-04-22
Indiana,11686,2020-04-22
Iowa,3159,2020-04-22
Kansas,1986,2020-04-22
Kentucky,3050,2020-04-22
Louisiana,24523,2020-04-22
Maine,875,2020-04-22
Marshall Islands,None,2020-04-22
Maryland,14193,2020-04-22
Massachusetts,39643,2020-04-22
Michigan,32000,2020-04-22
Micronesia,None,2020-04-22
Minnesota,2567,2020-04-22
Mississippi,4716,2020-04-22
Missouri,5807,2020-04-22
Montana,437,2020-04-22
Nebraska,1648,2020-04-22
Nevada,3830,2020-04-22
New Hampshire,1447,2020-04-22
New Jersey,88806,2020-04-22
New Mexico,1971,2020-04-22
New York,245580,2020-04-22
North Carolina,6764,2020-04-22
North Dakota,627,2020-04-22
Northern Marianas,14,2020-04-22
Ohio,12919,2020-04-22
Oklahoma,2680,2020-04-22
Oregon,1956,2020-04-22
Palau,None,2020-04-22
Pennsylvania,33232,2020-04-22
Puerto Rico,1213,2020-04-22
Rhode Island,5090,2020-04-22
South Carolina,4439,2020-04-22
South Dakota,1685,2020-04-22
Tennessee,7239,2020-04-22
Texas,19458,2020-04-22
Utah,3259,2020-04-22
Vermont,816,2020-04-22
Virgin Islands,54,2020-04-22
Virginia,9630,2020-04-22
Washington,12085,2020-04-22
West Virginia,902,2020-04-22
Wisconsin,4499,2020-04-22
Wyoming,428,2020-04-22
Alabama,5668,2020-04-22
Alaska,329,2020-04-22
American Samoa,None,2020-04-22
Arizona,5251,2020-04-22
Arkansas,2262,2020-04-22
California,33261,2020-04-22
Colorado,10368,2020-04-22
Connecticut,20360,2020-04-22
Delaware,3200,2020-04-22
District of Columbia,3098,2020-04-22
Florida,27127,2020-04-22
Georgia,20607,2020-04-22
Guam,136,2020-04-22
Hawaii,547,2020-04-22
Idaho,1766,2020-04-22
Illinois,33059,2020-04-22
Indiana,12097,2020-04-22
Iowa,3641,2020-04-22
Kansas,2025,2020-04-22
Kentucky,3192,2020-04-22
Louisiana,24854,2020-04-22
Maine,888,2020-04-22
Marshall Islands,None,2020-04-22
Maryland,14775,2020-04-22
Massachusetts,41199,2020-04-22
Michigan,32967,2020-04-22
Micronesia,None,2020-04-22
Minnesota,2721,2020-04-22
Mississippi,4716,2020-04-22
Missouri,5941,2020-04-22
Montana,439,2020-04-22
Nebraska,1722,2020-04-22
Nevada,3937,2020-04-22
New Hampshire,1491,2020-04-22
New Jersey,92387,2020-04-22
New Mexico,2072,2020-04-22
New York,250800,2020-04-22
North Carolina,6951,2020-04-22
North Dakota,644,2020-04-22
Northern Marianas,14,2020-04-22
Ohio,13725,2020-04-22
Oklahoma,2807,2020-04-22
Oregon,2002,2020-04-22
Palau,None,2020-04-22
Pennsylvania,34528,2020-04-22
Puerto Rico,1213,2020-04-22
Rhode Island,5716,2020-04-22
South Carolina,4608,2020-04-22
South Dakota,1754,2020-04-22
Tennessee,7394,2020-04-22
Texas,20196,2020-04-22
Utah,3369,2020-04-22
Vermont,818,2020-04-22
Virgin Islands,54,2020-04-22
Virginia,9630,2020-04-22
Washington,12282,2020-04-22
West Virginia,914,2020-04-22
Wisconsin,4620,2020-04-22
Wyoming,441,2020-04-22
Alabama,5668,2020-04-22
Alaska,329,2020-04-22
American Samoa,None,2020-04-22
Arizona,5251,2020-04-22
Arkansas,2262,2020-04-22
California,33261,2020-04-22
Colorado,10368,2020-04-22
Connecticut,20360,2020-04-22
Delaware,3200,2020-04-22
District of Columbia,3098,2020-04-22
Florida,27127,2020-04-22
Georgia,20607,2020-04-22
Guam,136,2020-04-22
Hawaii,547,2020-04-22
Idaho,1766,2020-04-22
Illinois,33059,2020-04-22
Indiana,12097,2020-04-22
Iowa,3641,2020-04-22
Kansas,2025,2020-04-22
Kentucky,3192,2020-04-22
Louisiana,24854,2020-04-22
Maine,888,2020-04-22
Marshall Islands,None,2020-04-22
Maryland,14775,2020-04-22
Massachusetts,41199,2020-04-22
Michigan,32967,2020-04-22
Micronesia,None,2020-04-22
Minnesota,2721,2020-04-22
Mississippi,4716,2020-04-22
Missouri,5941,2020-04-22
Montana,439,2020-04-22
Nebraska,1722,2020-04-22
Nevada,3937,2020-04-22
New Hampshire,1491,2020-04-22
New Jersey,92387,2020-04-22
New Mexico,2072,2020-04-22
New York,250800,2020-04-22
North Carolina,6951,2020-04-22
North Dakota,644,2020-04-22
Northern Marianas,14,2020-04-22
Ohio,13725,2020-04-22
Oklahoma,2807,2020-04-22
Oregon,2002,2020-04-22
Palau,None,2020-04-22
Pennsylvania,34528,2020-04-22
Puerto Rico,1213,2020-04-22
Rhode Island,5716,2020-04-22
South Carolina,4608,2020-04-22
South Dakota,1754,2020-04-22
Tennessee,7394,2020-04-22
Texas,20196,2020-04-22
Utah,3369,2020-04-22
Vermont,818,2020-04-22
Virgin Islands,54,2020-04-22
Virginia,9630,2020-04-22
Washington,12282,2020-04-22
West Virginia,914,2020-04-22
Wisconsin,4620,2020-04-22
Wyoming,441,2020-04-22
